Period,Track Title,Total Revenue,Artist Revenue
2022-06,Shootout,88.44 USD,35.38 USD
2022-06,Shootout (8D Version),1.93 USD,0.77 USD
2022-06,Shootout (Slowed + Reverb),0.44 USD,0.18 USD
2022-06,Shootout (Sped Up),10.10 USD,4.04 USD
2022-07,,0.56 USD,0.22 USD
2022-07,Shootout,12976.94 USD,5190.77 USD
2022-07,Shootout (8D Version),139.46 USD,55.79 USD
2022-07,Shootout (Slowed + Reverb),757.75 USD,303.10 USD
2022-07,Shootout (Sped Up),3671.97 USD,1468.79 USD
2022-08,,1.03 USD,0.41 USD
2022-08,Shootout,11154.64 USD,4461.86 USD
2022-08,Shootout (8D Version),2089.95 USD,835.98 USD
2022-08,Shootout (Slowed + Reverb),1178.88 USD,471.55 USD
2022-08,Shootout (Sped Up),5356.47 USD,2142.59 USD
2022-09,,0.17 USD,0.07 USD
2022-09,Shootout,9088.00 USD,3635.20 USD
2022-09,Shootout (8D Version),1756.02 USD,702.41 USD
2022-09,Shootout (Slowed + Reverb),1292.19 USD,516.88 USD
2022-09,Shootout (Sped Up),5139.52 USD,2055.81 USD
2022-10,,0.28 USD,0.11 USD
2022-10,Shootout,8517.34 USD,3406.93 USD
2022-10,Shootout (8D Version),1939.40 USD,775.76 USD
2022-10,Shootout (Slowed + Reverb),1906.89 USD,762.76 USD
2022-10,Shootout (Sped Up),4983.42 USD,1993.37 USD
2022-11,Shootout,7453.01 USD,2981.20 USD
2022-11,Shootout (8D Version),3967.97 USD,1587.19 USD
2022-11,Shootout (Slowed + Reverb),4280.95 USD,1712.38 USD
2022-11,Shootout (Sped Up),5128.86 USD,2051.54 USD
2022-11,snowfall,9.59 USD,3.84 USD
2022-12,Shootout,1005.54 USD,402.22 USD
2022-12,Shootout (8D Version),593.97 USD,237.59 USD
2022-12,Shootout (Slowed + Reverb),326.47 USD,130.59 USD
2022-12,Shootout (Sped Up),1083.98 USD,433.59 USD
2022-12,snowfall,0.02 USD,0.01 USD
2023-01,,1.91 USD,0.76 USD
2023-01,American Beauty,0.03 USD,0.01 USD
2023-01,Je te laisserai des mots (Piano Cover),0.05 USD,0.02 USD
2023-01,Say Yes To Heaven x Shootout,1.63 USD,0.65 USD
2023-01,Say Yes To Heaven x Shootout (Slowed + Reverb),0.48 USD,0.19 USD
2023-01,Say Yes To Heaven x Shootout (Sped Up),0.08 USD,0.03 USD
2023-01,September,0.04 USD,0.02 USD
2023-01,Shootout,7108.81 USD,2843.52 USD
2023-01,Shootout (8D Version),6540.92 USD,2616.37 USD
2023-01,Shootout (Slowed + Reverb),6071.77 USD,2428.71 USD
2023-01,Shootout (Sped Up),8386.91 USD,3354.76 USD
2023-01,Transcend,0.05 USD,0.02 USD
2023-01,Turanım,0.77 USD,0.31 USD
2023-01,Turanım (Slowed + Reverb),0.22 USD,0.09 USD
2023-01,Turanım (Sped Up),0.20 USD,0.08 USD
2023-01,Una Mattina,0.02 USD,0.01 USD
2023-01,snowfall,2.10 USD,0.84 USD
2023-02,,0.28 USD,0.11 USD
2023-02,Say Yes To Heaven x Shootout,0.02 USD,0.01 USD
2023-02,Shootout,7605.26 USD,3042.11 USD
2023-02,Shootout (8D Version),7462.77 USD,2985.11 USD
2023-02,Shootout (Slowed + Reverb),5040.82 USD,2016.33 USD
2023-02,Shootout (Sped Up),5308.40 USD,2123.36 USD
2023-02,snowfall,1.15 USD,0.46 USD
2023-03,,0.48 USD,0.19 USD
2023-03,American Beauty,5.32 USD,2.13 USD
2023-03,Je te laisserai des mots (Piano Cover),11.15 USD,4.46 USD
2023-03,Say Yes To Heaven x Shootout,0.04 USD,0.02 USD
2023-03,Shootout,13559.69 USD,5423.88 USD
2023-03,Shootout (8D Version),568.03 USD,227.21 USD
2023-03,Shootout (Slowed + Reverb),6637.74 USD,2655.09 USD
2023-03,Shootout (Sped Up),5424.70 USD,2169.88 USD
2023-03,Una Mattina,0.02 USD,0.01 USD
2023-03,snowfall,8.88 USD,3.55 USD
2023-04,,0.65 USD,0.26 USD
2023-04,American Beauty,19.67 USD,7.87 USD
2023-04,Je te laisserai des mots (Piano Cover),39.81 USD,15.92 USD
2023-04,Say Yes To Heaven x Shootout,0.08 USD,0.03 USD
2023-04,September,0.17 USD,0.07 USD
2023-04,Shootout,14018.41 USD,5607.36 USD
2023-04,Shootout (8D Version),369.17 USD,147.67 USD
2023-04,Shootout (Slowed + Reverb),12487.74 USD,4995.10 USD
2023-04,Shootout (Sped Up),5242.81 USD,2097.12 USD
2023-04,Una Mattina,9.22 USD,3.69 USD
2023-04,snowfall,27.20 USD,10.88 USD
2023-05,,0.28 USD,0.11 USD
2023-05,American Beauty,19.33 USD,7.73 USD
2023-05,Je te laisserai des mots (Piano Cover),48.39 USD,19.36 USD
2023-05,Say Yes To Heaven x Shootout,0.23 USD,0.09 USD
2023-05,September,0.37 USD,0.15 USD
2023-05,Shootout,13420.54 USD,5368.22 USD
2023-05,Shootout (8D Version),520.88 USD,208.35 USD
2023-05,Shootout (Slowed + Reverb),7517.56 USD,3007.02 USD
2023-05,Shootout (Sped Up),4634.36 USD,1853.75 USD
2023-05,Una Mattina,10.51 USD,4.20 USD
2023-05,snowfall,23.61 USD,9.44 USD
2023-06,,0.84 USD,0.33 USD
2023-06,American Beauty,14.79 USD,5.92 USD
2023-06,Je te laisserai des mots (Piano Cover),44.54 USD,17.81 USD
2023-06,Say Yes To Heaven x Shootout,0.03 USD,0.01 USD
2023-06,September,0.76 USD,0.30 USD
2023-06,Shootout,11672.33 USD,4668.93 USD
2023-06,Shootout (8D Version),638.84 USD,255.54 USD
2023-06,Shootout (Slowed + Reverb),5499.35 USD,2199.74 USD
2023-06,Shootout (Sped Up),4372.03 USD,1748.81 USD
2023-06,Turanım,97.73 USD,39.09 USD
2023-06,Turanım (Slowed + Reverb),5.04 USD,2.01 USD
2023-06,Turanım (Sped Up),1.13 USD,0.45 USD
2023-06,Una Mattina,8.44 USD,3.38 USD
2023-06,snowfall,18.04 USD,7.21 USD
2023-07,,0.56 USD,0.22 USD
2023-07,American Beauty,10.47 USD,4.19 USD
2023-07,Je te laisserai des mots (Piano Cover),30.74 USD,12.29 USD
2023-07,Say Yes To Heaven x Shootout,177.79 USD,71.12 USD
2023-07,Say Yes To Heaven x Shootout (Slowed + Reverb),46.42 USD,18.57 USD
2023-07,Say Yes To Heaven x Shootout (Sped Up),15.32 USD,6.13 USD
2023-07,September,0.15 USD,0.06 USD
2023-07,Shootout,9809.45 USD,3923.78 USD
2023-07,Shootout (8D Version),356.39 USD,142.55 USD
2023-07,Shootout (Slowed + Reverb),5837.50 USD,2335.00 USD
2023-07,Shootout (Sped Up),3795.78 USD,1518.31 USD
2023-07,Transcend,15.84 USD,6.34 USD
2023-07,Turanım,262.30 USD,104.92 USD
2023-07,Turanım (Slowed + Reverb),34.12 USD,13.65 USD
2023-07,Turanım (Sped Up),19.47 USD,7.79 USD
2023-07,Una Mattina,5.65 USD,2.26 USD
2023-07,snowfall,14.31 USD,5.72 USD
2023-08,,0.20 USD,0.08 USD
2023-08,American Beauty,16.60 USD,6.64 USD
2023-08,Je te laisserai des mots (Piano Cover),39.88 USD,15.95 USD
2023-08,Say Yes To Heaven x Shootout,498.25 USD,199.30 USD
2023-08,Say Yes To Heaven x Shootout (Slowed + Reverb),80.13 USD,32.05 USD
2023-08,Say Yes To Heaven x Shootout (Sped Up),22.76 USD,9.10 USD
2023-08,September,1.85 USD,0.74 USD
2023-08,Shootout,14563.13 USD,5825.25 USD
2023-08,Shootout (8D Version),627.49 USD,251.00 USD
2023-08,Shootout (Slowed + Reverb),8832.81 USD,3533.13 USD
2023-08,Shootout (Sped Up),4044.41 USD,1617.76 USD
2023-08,Transcend,39.51 USD,15.80 USD
2023-08,Turanım,302.34 USD,120.94 USD
2023-08,Turanım (Slowed + Reverb),32.89 USD,13.16 USD
2023-08,Turanım (Sped Up),18.19 USD,7.27 USD
2023-08,Una Mattina,9.90 USD,3.96 USD
2023-08,snowfall,19.56 USD,7.82 USD
2023-09,,0.48 USD,0.19 USD
2023-09,American Beauty,16.68 USD,6.67 USD
2023-09,Je te laisserai des mots (Piano Cover),52.59 USD,21.04 USD
2023-09,Say Yes To Heaven x Shootout,1282.18 USD,512.87 USD
2023-09,Say Yes To Heaven x Shootout (Slowed + Reverb),204.54 USD,81.82 USD
2023-09,Say Yes To Heaven x Shootout (Sped Up),24.31 USD,9.72 USD
2023-09,September,2.33 USD,0.93 USD
2023-09,Shootout,11489.08 USD,4595.63 USD
